letter_key,title,iiif_manifest_url,type,people_sending,people_addressed,date,von / an [provisorisch],place_of_sender,content_and_medium,folder_name,editorial_comments_1,ref_code_fonds,shelfmark,repository,repo_url,archival_history,rights,language,attachments,published_in,cited_in,editorial_comments_2
letter_0476,", 1936-03-14",https://iiif.ub.unibe.ch/presentation/v3/manifest/50490ffa-1c6e-45dd-a2a7-eccc65e09ee8,,,,1936-03-14,,,"2 Bl., Ts. (Kop.)",2,Datum erschlossen,,SLA-Schwarzenbach-A-1/050-b,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=2078976,,,Deutsch,,,,
letter_0443,"Alfred Schwarzenbach an Annemarie Schwarzenbach, 1935-01-08",https://www.e-manuscripta.ch/i3f/v20/5508016/manifest,,"Schwarzenbach, Alfred","Schwarzenbach, Annemarie (1908-1942)",1935-01-08,Alfred Schwarzenbach an Annemarie Schwarzenbach,Thalwil,1 Brief,,,,,Zentralbibliothek Zürich,https://doi.org/10.7891/e-manuscripta-188123,,,,,,,
letter_0433,"Annemarie Schwarzenbach (Fritz) an Alfred Schwarzenbach, 1917-09-12",https://www.e-manuscripta.ch/i3f/v20/5294148/manifest,,"Schwarzenbach, Annemarie (1908-1942)","Schwarzenbach, Alfred",1917-09-12,Annemarie Schwarzenbach (Fritz) an Alfred Schwarzenbach,Landhaus Bocken (Horgen),1 Brief,,,,,Zentralbibliothek Zürich,https://doi.org/10.7891/e-manuscripta-184077,,,,,,,
letter_0431,"Annemarie Schwarzenbach (Fritz) und Suzanne Öhmann-Schwarzenbach an Alfred Schwarzenbach, 1917-09-05",https://www.e-manuscripta.ch/i3f/v20/5294136/manifest,,"Schwarzenbach, Annemarie (1908-1942)","Öhmann-Schwarzenbach, Suzanne; Schwarzenbach, Alfred",1917-09-05,Annemarie Schwarzenbach (Fritz) und Suzanne Öhmann-Schwarzenbach an Alfred Schwarzenbach,Landhaus Bocken (Horgen),1 Brief,,,,,Zentralbibliothek Zürich,https://doi.org/10.7891/e-manuscripta-184075,,,,,,,
letter_0152,"Annemarie Schwarzenbach an ?, 1942-05-01",https://www.monacensia-digital.de/i3f/v20/34301/manifest,,"Schwarzenbach, Annemarie",,1942-05-01,Annemarie Schwarzenbach an ?,Pacific Palisades,1 Br.-Kopie - Beil.: Kopie e. Pressest.,,,EM B 1303,,,https://www.monacensia-digital.de/content/titleinfo/34301,Nachl. Erika Mann/Briefe,oai:www.monacensia-digital.de/schwarzenbach:34301,,,Briefe von EM?,,Antwortbrief von Erika Mann
letter_0696,"Annemarie Schwarzenbach an Albrecht Haushofer, 1929",https://iiif.ub.unibe.ch/presentation/v3/manifest/f9203c5c-ed4d-4421-a7e3-ef0eaf93f514,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1929,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-004,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899299,,,Deutsch,1 Umschlag,,,
letter_0693,"Annemarie Schwarzenbach an Albrecht Haushofer, 1929-04-04",https://iiif.ub.unibe.ch/presentation/v3/manifest/7093da6c-5c6e-4d83-9de9-446799136ad2,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1929-04-04,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-001,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899013,,,Deutsch,1 Umschlag,,,
letter_0694,"Annemarie Schwarzenbach an Albrecht Haushofer, 1929-06-21",https://iiif.ub.unibe.ch/presentation/v3/manifest/6e3f5cf8-6a9c-40b4-990f-e9c732dfd53b,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1929-06-21,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-002,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899259,,,Deutsch,1 Umschlag,,,
letter_0695,"Annemarie Schwarzenbach an Albrecht Haushofer, 1929-08-08",https://iiif.ub.unibe.ch/presentation/v3/manifest/e4875a37-151f-4f76-82de-9ecc5d83c502,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1929-08-08,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-003,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899298,,,Deutsch,,,,
letter_0697,"Annemarie Schwarzenbach an Albrecht Haushofer, 1929-12-27",https://iiif.ub.unibe.ch/presentation/v3/manifest/c6f72b65-2a1f-4780-8bbb-37c081a652dd,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1929-12-27,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-005,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899300,,,Deutsch,1 Umschlag,,,
letter_0698,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-01-13",https://iiif.ub.unibe.ch/presentation/v3/manifest/3c7a0a5f-4894-4be9-aa33-345ff6ee1baa,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-01-13,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-006,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899301,,,Deutsch,1 Umschlag,,,
letter_0699,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-05-03",https://iiif.ub.unibe.ch/presentation/v3/manifest/6b0f31a8-c2a6-4b4e-a964-92c33870d137,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-05-03,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-007,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899302,,,Deutsch,1 Umschlag,,,
letter_0700,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-06-18",https://iiif.ub.unibe.ch/presentation/v3/manifest/566f98b1-ccd1-4ae9-8fb9-f42a2f29d74f,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-06-18,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,Jahr ist geschätzt,,SLA-Schwarzenbach-B-1-HAUA-008,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899303,,,Deutsch,,,,
letter_0701,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-06-26",https://iiif.ub.unibe.ch/presentation/v3/manifest/8feb631b-781a-4ea8-a931-3b475f40eda0,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-06-26,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-009,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899304,,,Deutsch,,,,
letter_0702,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-07-02",https://iiif.ub.unibe.ch/presentation/v3/manifest/84bd6b45-8c33-4794-9f6d-d0e8b752284a,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-07-02,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-010,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899305,,,Deutsch,1 Umschlag,,,
letter_0703,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-07-27",https://iiif.ub.unibe.ch/presentation/v3/manifest/7e760c8f-e74e-489f-9e63-d3cbfa731be6,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-07-27,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-011,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899306,,,Deutsch,1 Umschlag,,,
letter_0704,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-10-25",https://iiif.ub.unibe.ch/presentation/v3/manifest/3ef91549-eec0-41af-9344-b4452e44f124,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-10-25,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-012,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899307,,,Deutsch,1 Umschlag,,,
letter_0705,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-11-30",https://iiif.ub.unibe.ch/presentation/v3/manifest/67d714be-6764-4bea-b64b-d63f50efbe33,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-11-30,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-013,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899308,,,Deutsch,,,,
letter_0706,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-12-06",https://iiif.ub.unibe.ch/presentation/v3/manifest/7c22ac7e-b49d-4b3e-b334-a7ffe5ccdf3e,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-12-06,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-014,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899309,,,Deutsch,,,,
letter_0707,"Annemarie Schwarzenbach an Albrecht Haushofer, 1930-12-21",https://iiif.ub.unibe.ch/presentation/v3/manifest/fb020270-170d-4487-9241-c9a6a6d286a1,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1930-12-21,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-015,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899310,,,Deutsch,,,,
letter_0708,"Annemarie Schwarzenbach an Albrecht Haushofer, 1931-01-23",https://iiif.ub.unibe.ch/presentation/v3/manifest/c7b93a1a-aefc-423d-8eb1-c0f2daf64436,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1931-01-23,Annemarie Schwarzenbach an Albrecht Haushofer,Horgen,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-016,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899311,,,Deutsch,1 Umschlag,,,
letter_0709,"Annemarie Schwarzenbach an Albrecht Haushofer, 1931-06-14",https://iiif.ub.unibe.ch/presentation/v3/manifest/7b90941d-c0a9-4a67-b14f-1f56e082e9c7,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1931-06-14,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-017,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899312,,,Deutsch,1 Umschlag,,,
letter_0710,"Annemarie Schwarzenbach an Albrecht Haushofer, 1931-11-12",https://iiif.ub.unibe.ch/presentation/v3/manifest/eca02f5f-73e7-4575-a841-a9df01150346,,"Schwarzenbach, Annemarie","Haushofer, Albrecht",1931-11-12,Annemarie Schwarzenbach an Albrecht Haushofer,,1 Brief,21,,,SLA-Schwarzenbach-B-1-HAUA-018,Schweizerisches Literaturarchiv (SLA),https://www.helveticarchives.ch/detail.aspx?ID=1899313,,,Deutsch,,,,
