photo_id,iiif_manifest_emanuscripta,iiif_image_emanuscripta
image_1960,,
image_4068,,
image_4069,,
image_4070,,
image_4071,,
image_4072,,
image_4073,,
image_4074,,
image_4075,,
image_2428,,
image_4031,,
image_4032,,
image_4033,,
image_4034,,
image_4035,,
image_4036,,
image_2565,https://www.e-manuscripta.ch/i3f/v20/1986403/manifest,https://www.e-manuscripta.ch/i3f/v21/1986404/full/304/0/default.jpg
image_2566,https://www.e-manuscripta.ch/i3f/v20/1986407/manifest,https://www.e-manuscripta.ch/i3f/v21/1986408/full/304/0/default.jpg
image_2567,https://www.e-manuscripta.ch/i3f/v20/1986412/manifest,https://www.e-manuscripta.ch/i3f/v21/1986413/full/304/0/default.jpg
image_2568,https://www.e-manuscripta.ch/i3f/v20/1986416/manifest,https://www.e-manuscripta.ch/i3f/v21/1986417/full/304/0/default.jpg
image_2569,https://www.e-manuscripta.ch/i3f/v20/1986420/manifest,https://www.e-manuscripta.ch/i3f/v21/1986421/full/304/0/default.jpg
image_2570,https://www.e-manuscripta.ch/i3f/v20/1986425/manifest,https://www.e-manuscripta.ch/i3f/v21/1986426/full/304/0/default.jpg
image_2571,https://www.e-manuscripta.ch/i3f/v20/1986429/manifest,https://www.e-manuscripta.ch/i3f/v21/1986430/full/304/0/default.jpg
image_2572,https://www.e-manuscripta.ch/i3f/v20/1986433/manifest,https://www.e-manuscripta.ch/i3f/v21/1986434/full/304/0/default.jpg
image_2573,https://www.e-manuscripta.ch/i3f/v20/1986438/manifest,https://www.e-manuscripta.ch/i3f/v21/1986439/full/304/0/default.jpg
image_0001,https://www.e-manuscripta.ch/i3f/v20/1983943/manifest,https://www.e-manuscripta.ch/i3f/v21/1983944/full/304/0/default.jpg
image_0002,,
image_0003,,
image_0004,,
image_0005,,
image_0006,,
image_0007,,
image_0008,,
image_0009,,
image_0010,https://www.e-manuscripta.ch/i3f/v20/1994842/manifest,https://www.e-manuscripta.ch/i3f/v21/1994843/full/304/0/default.jpg
image_0011,https://www.e-manuscripta.ch/i3f/v20/1994847/manifest,https://www.e-manuscripta.ch/i3f/v21/1994848/full/304/0/default.jpg
image_0012,https://www.e-manuscripta.ch/i3f/v20/1994852/manifest,https://www.e-manuscripta.ch/i3f/v21/1994853/full/304/0/default.jpg
image_0013,https://www.e-manuscripta.ch/i3f/v20/1994857/manifest,https://www.e-manuscripta.ch/i3f/v21/1994858/full/304/0/default.jpg
image_0014,,
image_0015,,
image_0016,,
image_0017,,
image_0018,,
image_0019,,
image_0020,https://www.e-manuscripta.ch/i3f/v20/1994862/manifest,https://www.e-manuscripta.ch/i3f/v21/1994863/full/304/0/default.jpg
image_0021,https://www.e-manuscripta.ch/i3f/v20/1994866/manifest,https://www.e-manuscripta.ch/i3f/v21/1994867/full/304/0/default.jpg
image_0022,https://www.e-manuscripta.ch/i3f/v20/1994871/manifest,https://www.e-manuscripta.ch/i3f/v21/1994872/full/304/0/default.jpg
image_0023,,
image_0024,,
image_0025,https://www.e-manuscripta.ch/i3f/v20/1994875/manifest,https://www.e-manuscripta.ch/i3f/v21/1994876/full/304/0/default.jpg
image_0026,,
image_0027,,
image_0028,,
image_0029,,
image_0030,,
image_0031,,
image_0032,,
image_0033,,
image_0034,,
image_0035,,
image_0036,,
image_0037,,
image_0038,,
image_0039,,
image_0040,,
image_0041,https://www.e-manuscripta.ch/i3f/v20/1994880/manifest,https://www.e-manuscripta.ch/i3f/v21/1994881/full/304/0/default.jpg
image_0042,https://www.e-manuscripta.ch/i3f/v20/1994885/manifest,https://www.e-manuscripta.ch/i3f/v21/1994886/full/304/0/default.jpg
image_0043,,
image_0044,,
image_0045,,
image_0046,,
image_0047,,
image_0048,,
image_0049,,
image_0050,,
image_0051,https://www.e-manuscripta.ch/i3f/v20/1994890/manifest,https://www.e-manuscripta.ch/i3f/v21/1994892/full/304/0/default.jpg
image_0052,https://www.e-manuscripta.ch/i3f/v20/2001889/manifest,https://www.e-manuscripta.ch/i3f/v21/2001890/full/304/0/default.jpg
image_0053,,
image_0054,,
image_0065,https://www.e-manuscripta.ch/i3f/v20/2001894/manifest,https://www.e-manuscripta.ch/i3f/v21/2001895/full/304/0/default.jpg
image_0066,https://www.e-manuscripta.ch/i3f/v20/2001898/manifest,https://www.e-manuscripta.ch/i3f/v21/2001899/full/304/0/default.jpg
