photo_id,label,iiif_manifest,id_sla,title,date,date_normalised,travel,photographer,people_on_photo,characteristics,comments_1,captions_1,captions_2,signatures,stamp,orientation,shape,url_helveticarchives,url_wikimedia,url_emanuscripta,iiif_manifest_emanuscripta,repository,published_in,mentioned_in,comments_2
image_1960,"USA, Cincinnati/OH: Better Housing League, Mai 1925 [SLA-Schwarzenbach-A-5-12/004]",,SLA-Schwarzenbach-A-5-12/004,"USA, Cincinnati/OH: Better Housing League",Mai 1925,1925-05,Zweite USA-Reise,,,"schwarz-weiss, nicht aufgezogen",Innenräume eines Hauses,Better Housing League [Legende nicht von AS],"May - 1925¦Interior view of three room cottage on Muchmore Ave., Madisonville",nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=314200,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4068,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/040]",,SLA-Schwarzenbach-A-5-27/040,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen","Links von der Eingangstüre eine Erinnerungstafel an Richard Wagner, der 1883 im Palazzo verstorben ist | Eine Eingangstüre, dahinter ein Hof und ein Gebäude",,,nicht signiert,gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565599,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4069,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/041]",,SLA-Schwarzenbach-A-5-27/041,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Eine Halle mit Kronleuchtern und Steinboden,Halle,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565709,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4070,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/042]",,SLA-Schwarzenbach-A-5-27/042,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Eine Halle mit Wandteppichen und einem grossen Kamin,Esszimmer,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565710,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4071,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/043]",,SLA-Schwarzenbach-A-5-27/043,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Ein Raum mit Arbeitstischen und Büchergestellen und einem grossen Kamin,Arbeitszimmer,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565711,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4072,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/044]",,SLA-Schwarzenbach-A-5-27/044,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Ein Raum mit Tischen und Stühlen und Kronleuchtern,Musikzimmer,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565712,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4073,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/045]",,SLA-Schwarzenbach-A-5-27/045,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Ein Raum mit einem Bett in einem Alkoven,Mein Schlafzimmer,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565713,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4074,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/046]",,SLA-Schwarzenbach-A-5-27/046,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Ein Raum mit einem Kamin und einem Sofa,M. Schlafzimmer,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565714,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4075,"Italien, Venedig (Venezia): Palazzo Vendramin, September 1930 [SLA-Schwarzenbach-A-5-27/047]",,SLA-Schwarzenbach-A-5-27/047,"Italien, Venedig (Venezia): Palazzo Vendramin",September 1930,1930-09,Venedigreise 1930,,,"schwarz-weiss, nicht aufgezogen",Ein Raum mit bemalten Tapeten und einem Bett,Zimmer meiner Schwester,,nicht signiert,gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=565715,,,,Schweizerisches Literaturarchiv (SLA),,,
image_2428,"Schweiz, Horgen: Gutshof Bocken, Schweiz, Horgen, 1931 [SLA-Schwarzenbach-A-5-17/020]",,SLA-Schwarzenbach-A-5-17/020,"Schweiz, Horgen: Gutshof Bocken, Schweiz, Horgen",1931,1931,Schweiz,,"Schwarzenbach, Annemarie (1908-1942)¦Mann, Erika (1905-1969)","schwarz-weiss, nicht aufgezogen",Annemarie Schwarzenbach und Erika Mann,,,nicht signiert,nicht gestempelt,Quadratisch,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=253918,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4031,"Deutsches Reich, Berlin: Zirkuskind, 1931 [SLA-Schwarzenbach-A-5-27/001]",,SLA-Schwarzenbach-A-5-27/001,"Deutsches Reich, Berlin: Zirkuskind",1931,1931,Berlinreise 1931?,"Breslauer, Marianne (1909-2001)",,"schwarz-weiss, nicht aufgezogen",Ein Junge in einem Shirt mit einem aufgedruckten Schmetterling,(c) Fotostiftung Schweiz. Die Fotos von Marianne Breslauer werden mit freundlicher Genehmigung der Fotostiftung Schweiz angezeigt.,,nicht signiert,gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=564316,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4032,"Deutsches Reich, Berlin: Zirkuskind, 1931 [SLA-Schwarzenbach-A-5-27/002]",,SLA-Schwarzenbach-A-5-27/002,"Deutsches Reich, Berlin: Zirkuskind",1931,1931,Berlinreise 1931?,"Breslauer, Marianne (1909-2001)",,"schwarz-weiss, nicht aufgezogen",Ein Junge in einem Shirt mit einem aufgedruckten Schmetterling,(c) Fotostiftung Schweiz. Die Fotos von Marianne Breslauer werden mit freundlicher Genehmigung der Fotostiftung Schweiz angezeigt.,,nicht signiert,nicht gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=564592,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4033,"Deutsches Reich, Berlin: Zirkuskind, 1931 [SLA-Schwarzenbach-A-5-27/003]",,SLA-Schwarzenbach-A-5-27/003,"Deutsches Reich, Berlin: Zirkuskind",1931,1931,Berlinreise 1931?,"Breslauer, Marianne (1909-2001)",,"schwarz-weiss, nicht aufgezogen","Ein Junge in einem Shirt mit einem aufgedruckten Schmetterling, auf seiner Schulter ein junges Mädchen",(c) Fotostiftung Schweiz. Die Fotos von Marianne Breslauer werden mit freundlicher Genehmigung der Fotostiftung Schweiz angezeigt.,,nicht signiert,nicht gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=564593,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4034,"Deutsches Reich, Berlin: Zirkuskind, 1931 [SLA-Schwarzenbach-A-5-27/004]",,SLA-Schwarzenbach-A-5-27/004,"Deutsches Reich, Berlin: Zirkuskind",1931,1931,Berlinreise 1931?,"Breslauer, Marianne (1909-2001)",,"schwarz-weiss, nicht aufgezogen",Ein Junge und ein Mädchen neben einem Drahtzaun,(c) Fotostiftung Schweiz. Die Fotos von Marianne Breslauer werden mit freundlicher Genehmigung der Fotostiftung Schweiz angezeigt.,,nicht signiert,gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=564594,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4035,"Deutsches Reich, Berlin: Zirkuskind, 1931 [SLA-Schwarzenbach-A-5-27/005]",,SLA-Schwarzenbach-A-5-27/005,"Deutsches Reich, Berlin: Zirkuskind",1931,1931,Berlinreise 1931?,"Breslauer, Marianne (1909-2001)",,"schwarz-weiss, nicht aufgezogen",Ein Junge und ein Mädchen,(c) Fotostiftung Schweiz. Die Fotos von Marianne Breslauer werden mit freundlicher Genehmigung der Fotostiftung Schweiz angezeigt.,,nicht signiert,nicht gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=564595,,,,Schweizerisches Literaturarchiv (SLA),,,
image_4036,"Deutsches Reich, Berlin: Zirkuskind, 1931 [SLA-Schwarzenbach-A-5-27/006]",,SLA-Schwarzenbach-A-5-27/006,"Deutsches Reich, Berlin: Zirkuskind",1931,1931,Berlinreise 1931?,"Breslauer, Marianne (1909-2001)",,"schwarz-weiss, nicht aufgezogen","Ein Frau neben einem Tisch am Brotschneiden, daneben zwei Mädchen, im Hintergrund ein Wagen mit der Anschrift Keil",(c) Fotostiftung Schweiz. Die Fotos von Marianne Breslauer werden mit freundlicher Genehmigung der Fotostiftung Schweiz angezeigt.,,nicht signiert,nicht gestempelt,Vertikal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=564596,,,,Schweizerisches Literaturarchiv (SLA),,,
